question,opt1,opt2,opt3,correct,difficulty
What is the capital city of France?,London,Berlin,Madrid,Paris,Easy
Who painted the Mona Lisa?,Vincent van Gogh,Claude Monet,Michelangelo,Leonardo da Vinci,Easy
What is the largest planet in our solar system?,Mars,Saturn,Neptune,Jupiter,Easy
In what year did World War II end?,1940,1955,1935,1945,Easy
What is the chemical symbol for gold?,Ag,Pt,Na,Au,Easy
Who wrote the play Romeo and Juliet?,Leo Tolstoy,Charles Dickens,Mark Twain,William Shakespeare,Easy
Which element has the atomic number 1?,Helium,Carbon,Nitrogen,Hydrogen,Easy
What is the longest river in the world?,Amazon River,Mississippi River,Yangtze River,Nile River,Easy
Who was the first man to walk on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,Easy
What is the national flower of Japan?,Rose,Tulip,Lily,Cherry blossom,Easy
In computing, what does “CPU” stand for?,Central Processing Utility,Computer Processing Unit,Central Program Unit,Central Processing Unit,Easy
Who is known as the “Father of Geometry”?,Archimedes,Pythagoras,Aristotle,Euclid,Easy
What is the hardest natural substance on Earth?,Graphite,Quartz,Topaz,Diamond,Easy
Which country is home to the kangaroo?,New Zealand,South Africa,Argentina,Australia,Easy
What is the largest mammal in the world?,African elephant,Whale shark,Giraffe,Blue whale,Easy
In which continent is the Sahara Desert located?,Asia,North America,Europe,Africa,Easy
Who discovered penicillin?,Albert Einstein,Louis Pasteur,Gregor Mendel,Alexander Fleming,Easy
What is the capital of Canada?,Vancouver,Toronto,Montreal,Ottawa,Easy
Which gas do humans exhale in respiration?,Oxygen,Nitrogen,Hydrogen,Carbon dioxide,Easy
Who is the author of Harry Potter?,Suzanne Collins,Stephen King,George R.R. Martin,J.K. Rowling,Easy
How many sides does a hexagon have?,Seven,Eight,Nine,Six,Easy
What is the currency of Japan?,Won,Dollar,Peso,Yen,Easy
Which ocean is the largest in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Easy
What is the boiling point of water at sea level in Celsius?,90°C,120°C,50°C,100°C,Easy
Who was the first President of the United States?,Abraham Lincoln,Thomas Jefferson,John Kennedy,George Washington,Easy
In which sport is the term “love” used?,Basketball,Badminton,Golf,Tennis,Easy
What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Apo,Mount Everest,Easy
What is the main ingredient in guacamole?,Tomato,Onion,Avocado oil,Avocado,Easy
Who invented the telephone?,Thomas Edison,Nikola Tesla,Samuel Morse,Alexander Graham Bell,Easy
What is the capital of Italy?,Venice,Milan,Florence,Rome,Easy
Which metal is liquid at room temperature?,Iron,Copper,Gold,Mercury,Easy
How many players are there on a soccer team?,9,10,12,11,Easy
What is the largest island in the world?,Madagascar,Borneo,Australia,Greenland,Easy
Which animal is known as man’s best friend?,Cat,Horse,Parrot,Dog,Easy
What is the national animal of China?,Tiger,Rabbit,Dragon,Giant panda,Easy
What is the square root of 81?,7,11,6,9,Easy
Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Dorothy Hodgkin,Ada Lovelace,Marie Curie,Easy
What is the fastest land animal?,Horse,Leopard,Sloth,Cheetah,Easy
