questions,answer 1,answer2,answer3,correct
What is the capital city of France?,London,Berlin,Madrid,Paris
Who painted the Mona Lisa?,Vincent van Gogh,Claude Monet,Michelangelo,Leonardo da Vinci
What is the largest planet in our solar system?,Mars,Saturn,Neptune,Jupiter
In what year did World War II end?,1940,1955,1935,1945
What is the chemical symbol for gold?,Ag,Pt,Na,Au
Who wrote the play Romeo and Juliet?,Leo Tolstoy,Charles Dickens,Mark Twain,William Shakespeare
Which element has the atomic number 1?,Helium,Carbon,Nitrogen,Hydrogen
What is the longest river in the world?,Amazon River,Mississippi River,Yangtze River,Nile River
Who was the first man to walk on the Moon?,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong
What is the national flower of Japan?,Rose,Tulip,Lily,Cherry blossom
"In computing, what does “CPU” stand for?",Central Processing Utility,Computer Processing Unit,Central Program Unit,Central Processing Unit
Who is known as the “Father of Geometry”?,Archimedes,Pythagoras,Euclid,Euclid
What is the hardest natural substance on Earth?,Graphite,Quartz,Topaz,Diamond
Which country is home to the kangaroo?,New Zealand,South Africa,Argentina,Australia
What is the largest mammal in the world?,African elephant,Blue whale shark,Blue whale,Blue whale
In which continent is the Sahara Desert located?,Asia,North America,Africa,Africa
Who discovered penicillin?,Albert Einstein,Louis Pasteur,Gregor Mendel,Alexander Fleming
What is the capital of Canada?,Vancouver,Toronto,Montreal,Ottawa
Which gas do humans exhale in respiration?,Oxygen,Carbon dioxide,Nitrogen,Carbon dioxide
Who is the author of Harry Potter?,Suzanne Collins,Stephen King,George R.R. Martin,J.K. Rowling
How many sides does a hexagon have?,Seven,Eight,Nine,Six
What is the currency of Japan?,Yen,Won,Dollar,Yen
Which ocean is the largest in the world?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Pacific Ocean
What is the boiling point of water at sea level in Celsius?,90°C,120°C,50°C,100°C
Who was the first President of the United States?,Abraham Lincoln,Thomas Jefferson,George Washington,George Washington
In which sport is the term “love” used?,Basketball,Tennis (table),Golf,Tennis
What is the tallest mountain in the world?,K2,Mount Kilimanjaro,Mount Everest (K2 as duplicate avoided earlier),Mount Everest
What is the main ingredient in guacamole?,Tomato,Onion,Avocado oil,Avocado
Who invented the telephone?,Thomas Edison,Nikola Tesla,Samuel Morse,Alexander Graham Bell
What is the capital of Italy?,Venice,Milan,Florence,Rome
Which metal is liquid at room temperature?,Iron,Mercury,Copper,Mercury
How many players are there on a soccer team?,9,10,12,11
What is the largest island in the world?,Madagascar,Greenland,Borneo,Greenland
Who composed the music for The Nutcracker?,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Tchaikovsky,Pyotr Ilyich Tchaikovsky
What is the national animal of China?,Tiger,Panda,Dragon,Giant panda
What is the square root of 81?,7,11,6,9
Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Marie Curie,Dorothy Hodgkin,Marie Curie
What is the fastest land animal?,Horse,Cheetah,Leopard,Cheetah
In which country did the Olympic Games originate?,Italy,France,Greece,Greece
What is the freezing point of water in Fahrenheit?,20°F,10°F,0°F,32°F
Who is the Greek god of the sea?,Zeus,Poseidon,Hades,Poseidon
What is the capital of Australia?,Sydney,Melbourne,Canberra,Canberra
What does “WWW” stand for in a website address?,World Wide Webbing,World Wide Web Organization,World Web Wide,World Wide Web
Who was known as the “Maid of Orléans”?,Cleopatra,Marie Antoinette,Joan of Arc,Joan of Arc
What is the chemical symbol for oxygen?,H2,O2O,Ox,O
How many planets are there in the solar system?,8,10,12,8
What is the capital of Egypt?,Istanbul,Cairo,Alexandria,Cairo
Who painted the Sistine Chapel ceiling?,Leonardo da Vinci,Raphael,Michelangelo Buonarroti,Michelangelo
Which blood type is known as the universal donor?,Type A,Type B,Type AB,O negative
What is the largest ocean animal?,Orca,Blue whale shark,Sperm whale,Blue whale
In which year did the Titanic sink?,1914,1939,1920,1912
Who was the British Prime Minister during World War II?,Margaret Thatcher,David Cameron,Winston Churchill,Winston Churchill
What is the currency of the United Kingdom?,Euro,Pound sterling,Shilling,Pound sterling
Which organ in the human body purifies blood?,Lungs,Kidney,Liver,Kidneys
What is the capital city of Russia?,St. Petersburg,Moscow,Kazan,Moscow
Which bird is known for its ability to mimic human speech?,Peacock,Parrot,Crow,Parrot
What is the capital of South Korea?,Busan,Seoul,Incheon,Seoul
What is the smallest prime number?,1,2,3,2
Who invented the light bulb?,Alexander Graham Bell,James Watt,Thomas Edison,Thomas Edison
What is the largest desert in the world?,Gobi Desert,Kalahari Desert,Sahara Desert,Antarctica
Which is the largest internal organ in the human body?,Stomach,Liver,Heart,Liver
In which country is the Great Pyramid of Giza located?,Mexico,Peru,Sudan,Egypt
Who is the current monarch of the United Kingdom (as of 2025)?,Prince William,King Charles III,Queen Elizabeth II,King Charles III
What is the chemical formula for water?,HO,H2O2,HHO,H₂O
Who wrote The Odyssey?,Virgil,Sophocles,Homer,Homer
What is the capital of Brazil?,Rio de Janeiro,Brasília,São Paulo,Brasília
How many stripes are there on the US flag?,25,50,15,13
What is the national sport of Japan?,Taekwondo,Judo,Sumo wrestling,Sumo
Who is known as the “Queen of Pop”?,Beyoncé,Madonna,Lady Gaga,Madonna
Which is the smallest country in the world?,Monaco,Liechtenstein,Vatican City,Vatican City
Which planet is known as the “Red Planet”?,Venus,Jupiter,Mercury,Mars
What is the capital of Spain?,Barcelona,Madrid,Seville,Madrid
Who developed the theory of relativity?,Isaac Newton,Galileo Galilei,Albert Einstein,Albert Einstein
Which animal is known as the “King of the Jungle”?,Elephant,Lion,Tiger,Lion
How many bones are there in the adult human body?,150,200,206,206
